datetime,casual,registered,count
2011-01-01 00:00:00,3,13,16
2011-01-01 01:00:00,8,32,40
2011-01-01 02:00:00,5,27,32
2011-01-01 03:00:00,3,10,13
2011-01-01 04:00:00,0,1,1
2011-01-01 05:00:00,0,1,1
2011-01-01 06:00:00,2,0,2
2011-01-01 07:00:00,1,2,3
2011-01-01 08:00:00,1,7,8
2011-01-01 09:00:00,8,6,14
2011-01-01 10:00:00,12,24,36
2011-01-01 11:00:00,26,30,56
2011-01-01 12:00:00,29,55,84
2011-01-01 13:00:00,47,47,94
2011-01-01 14:00:00,35,71,106
2011-01-01 15:00:00,40,70,110
2011-01-01 16:00:00,41,52,93
2011-01-01 17:00:00,15,52,67
2011-01-01 18:00:00,9,26,35
2011-01-01 19:00:00,6,31,37
2011-01-01 20:00:00,11,25,36
2011-01-01 21:00:00,3,31,34
2011-01-01 22:00:00,11,17,28
2011-01-01 23:00:00,15,24,39
2011-01-02 00:00:00,4,13,17
2011-01-02 01:00:00,1,16,17
2011-01-02 02:00:00,1,8,9
2011-01-02 03:00:00,2,4,6
2011-01-02 04:00:00,2,1,3
2011-01-02 06:00:00,0,2,2
2011-01-02 07:00:00,0,1,1
2011-01-02 08:00:00,0,8,8
2011-01-02 09:00:00,1,19,20
2011-01-02 10:00:00,7,46,53
2011-01-02 11:00:00,16,54,70
2011-01-02 12:00:00,20,73,93
2011-01-02 13:00:00,11,64,75
2011-01-02 14:00:00,4,55,59
2011-01-02 15:00:00,19,55,74
2011-01-02 16:00:00,9,67,76
2011-01-02 17:00:00,7,58,65
2011-01-02 18:00:00,10,43,53
2011-01-02 19:00:00,1,29,30
2011-01-02 20:00:00,5,17,22
2011-01-02 21:00:00,11,20,31
2011-01-02 22:00:00,0,9,9
2011-01-02 23:00:00,0,8,8
2011-01-03 00:00:00,0,5,5
2011-01-03 01:00:00,0,2,2
2011-01-03 04:00:00,0,1,1
2011-01-03 05:00:00,0,3,3
2011-01-03 06:00:00,0,30,30
2011-01-03 07:00:00,1,63,64
2011-01-03 08:00:00,1,153,154
2011-01-03 09:00:00,7,81,88
2011-01-03 10:00:00,11,33,44
2011-01-03 11:00:00,10,41,51
2011-01-03 12:00:00,13,48,61
2011-01-03 13:00:00,8,53,61
2011-01-03 14:00:00,11,66,77
2011-01-03 15:00:00,14,58,72
2011-01-03 16:00:00,9,67,76
2011-01-03 17:00:00,11,146,157
2011-01-03 18:00:00,9,148,157
2011-01-03 19:00:00,8,102,110
2011-01-03 20:00:00,3,49,52
2011-01-03 21:00:00,3,49,52
2011-01-03 22:00:00,0,20,20
2011-01-03 23:00:00,1,11,12
2011-01-04 00:00:00,0,5,5
2011-01-04 01:00:00,0,2,2
2011-01-04 02:00:00,0,1,1
2011-01-04 04:00:00,0,2,2
2011-01-04 05:00:00,0,4,4
2011-01-04 06:00:00,0,36,36
2011-01-04 07:00:00,2,92,94
2011-01-04 08:00:00,2,177,179
2011-01-04 09:00:00,2,98,100
2011-01-04 10:00:00,5,37,42
2011-01-04 11:00:00,7,50,57
2011-01-04 12:00:00,12,66,78
2011-01-04 13:00:00,18,79,97
2011-01-04 14:00:00,9,54,63
2011-01-04 15:00:00,17,48,65
2011-01-04 16:00:00,15,68,83
2011-01-04 17:00:00,10,202,212
2011-01-04 18:00:00,3,179,182
2011-01-04 19:00:00,2,110,112
2011-01-04 20:00:00,1,53,54
2011-01-04 21:00:00,0,48,48
2011-01-04 22:00:00,1,34,35
2011-01-04 23:00:00,2,9,11
2011-01-05 00:00:00,0,6,6
2011-01-05 01:00:00,0,6,6
2011-01-05 02:00:00,0,2,2
2011-01-05 04:00:00,0,2,2
2011-01-05 05:00:00,0,3,3
2011-01-05 06:00:00,0,33,33
2011-01-05 07:00:00,1,87,88
2011-01-05 08:00:00,3,192,195
2011-01-05 09:00:00,6,109,115
2011-01-05 10:00:00,4,53,57
2011-01-05 11:00:00,12,34,46
2011-01-05 12:00:00,5,74,79
2011-01-05 13:00:00,6,65,71
2011-01-05 14:00:00,10,52,62
2011-01-05 15:00:00,7,55,62
2011-01-05 16:00:00,4,85,89
2011-01-05 17:00:00,4,186,190
2011-01-05 18:00:00,3,166,169
2011-01-05 19:00:00,5,127,132
2011-01-05 20:00:00,7,82,89
2011-01-05 21:00:00,3,40,43
