"YEAR","MONTH","DAY","X1HR","X2HR","X3HR","X4HR","X5HR","X6HR","X7HR","X8HR","X9HR","X10HR","X11HR","X12HR","X13HR","X14HR","X15HR","X16HR","X17HR","X18HR","X19HR","X20HR","X21HR","X22HR","X23HR","X24HR"
2008,1,1,39638,37682,35801,34154,33068,32529,31982,30961,28323,27869,28172,28501,28202,28227,28147,28313,28683,30921,32879,33038,34031,34684,37444,38160
2008,1,2,37425,35239,33568,32171,31616,31725,32575,34090,35604,37967,38853,39103,36666,37691,38213,38132,38399,39796,40810,39980,40084,39630,42008,42150
2008,1,3,40757,38681,37047,35732,34912,34922,35563,36489,37243,39232,39720,39755,37143,37412,37355,36776,36478,37221,38481,38074,38606,38596,41439,41521
2008,1,4,40220,38434,36832,35521,34728,34436,34299,33792,31879,31810,32370,32418,31616,31954,32095,31985,32396,34213,36238,36424,37282,37525,40055,40232
2008,1,5,39056,37208,35688,34481,33979,34261,35315,37363,39836,42740,43446,43325,40053,41355,42113,41734,42063,43370,44454,43408,43052,42300,44603,44500
2008,1,6,42725,40648,39222,37797,37148,37000,37761,39082,40485,42887,43211,43373,40076,41457,42228,42009,42272,43359,44153,43137,42773,42031,44234,44261
2008,1,7,42513,40463,38998,37556,36958,36946,37656,38890,40589,43178,43459,43474,40229,41715,42448,42074,42446,43695,44449,43419,43326,42749,44802,44876
2008,1,8,43078,40973,39490,38329,37778,37637,38565,39836,41301,43485,43742,43905,40633,41816,42660,42337,42615,43654,45107,44025,43773,43032,44997,45083
2008,1,9,43394,41270,39780,38362,37521,37489,38155,39393,41074,43414,44041,43906,40523,41683,42598,42237,42479,43500,44681,43539,43311,42604,44755,44649
2008,1,10,43103,41039,39282,37748,36827,36715,37218,38309,39138,41237,41877,41845,38767,39200,39457,38850,38327,38780,40041,39641,40081,40098,42734,43029
2008,1,11,41663,39785,38394,36959,36078,35634,35228,34537,32574,32580,33182,33379,32738,32948,32962,32848,32996,34461,36678,36700,37623,37955,40372,40538
2008,1,12,39614,37761,36394,34987,34330,34521,35571,37461,39996,42842,43770,44061,40854,42308,43100,42955,43647,44587,44991,43880,43985,43221,45447,45490
2008,1,13,43833,42146,40728,39354,38547,38372,39085,40304,41505,43920,44604,44868,41660,43197,44230,43928,43931,44822,46273,45077,44691,43775,46031,46122
2008,1,14,44638,42823,41734,40292,39364,39200,39865,41031,42099,44413,44804,44946,41661,42944,43750,43559,43779,44603,45673,44443,44199,43626,45716,45915
2008,1,15,44288,42612,41271,39877,38936,38735,39360,40484,41950,44298,44782,44821,41567,42671,43464,43229,43575,44537,45761,44794,44391,43744,45758,45831
2008,1,16,44068,42292,40826,39458,38551,38380,39030,40135,41786,44195,44767,44732,41677,43038,43354,43255,43521,44381,45131,44034,43811,43093,45225,45262
2008,1,17,43779,41862,40288,38689,37765,37483,37974,38984,39804,42288,43120,43411,40431,40954,41182,40465,39722,39574,40548,40173,40840,40761,43328,43732
2008,1,18,42447,40622,38967,37307,36372,35853,35707,35317,34207,34916,35778,36094,35291,35957,36004,35900,35932,36850,38518,38458,39144,39389,41873,42225
2008,1,19,41192,39359,37957,36403,35707,35766,36710,38371,40283,43343,44065,44220,40923,42281,42915,42501,42354,42744,44338,43441,43292,42616,45054,45205
2008,1,20,43603,41524,40076,38688,37860,37715,38335,39343,40224,42288,42599,42390,39278,39548,39174,37764,36365,36547,38384,38057,38545,38484,41158,41604
2008,1,21,40857,39110,37582,35792,34417,33416,32653,31683,28672,27990,28387,28816,28725,28572,28498,28261,28411,29551,31511,31489,32015,32429,35456,36393
2008,1,22,36390,35502,34599,33280,32245,31587,31432,30918,27081,24748,23995,23902,23868,23774,23769,23842,24215,25739,27804,28196,29338,30232,33807,35341
2008,1,23,35530,34814,33984,32770,31683,30995,30494,29690,26720,25658,25754,26057,26036,25962,25950,25972,26399,28008,30433,30724,31722,32517,35687,36717
2008,1,24,37007,35949,34853,33323,32252,31705,31553,31382,29352,29608,30344,30755,30285,30183,30114,30018,30203,31585,34015,34189,34864,35278,38229,39210
2008,1,25,39176,37986,36307,34930,33953,33511,33226,32568,30816,30955,31866,32286,31974,32359,32397,32480,32751,34059,36666,36880,37558,37832,40737,40998
2008,1,26,40470,39226,38045,36730,35861,35661,36583,38363,40079,43002,43965,44490,41754,42930,43577,43315,43645,43926,45289,44295,43938,43433,45641,45865
2008,1,27,44188,42658,41608,40193,39320,39096,39562,40794,42019,44623,45126,45207,42113,43439,44263,44011,43979,44420,46070,45202,44758,43947,46132,46237
2008,1,28,44698,43126,41825,40271,39200,38958,39461,40750,42135,44780,45261,45138,41918,43070,43680,43237,43187,43236,45043,44185,44033,43480,45724,45750
2008,1,29,44157,42239,41037,39434,38465,38343,38852,40049,41625,44161,44654,44459,41146,42335,43073,42731,42886,43300,45086,44279,44037,43281,45605,45729
2008,1,30,44182,42131,40631,39170,38366,38162,38902,40189,41344,43689,44145,44131,40639,41948,42603,42250,42330,42622,44545,43825,43703,42966,45265,45278
2008,1,31,43758,41867,40494,38932,38101,37926,38412,39079,39764,41818,42258,42057,38968,39085,38912,38056,37274,37017,39234,39256,39895,39967,42837,43118
2008,2,1,41681,39836,38317,36775,35880,35325,35005,34047,31875,31848,32554,32714,31948,32077,32019,31834,32014,33254,36043,36416,37239,37512,40011,40295
2008,2,2,39042,36994,35442,34218,33778,34024,35143,37036,39619,42739,43583,43752,40546,42006,42868,42696,42875,43164,45064,44439,44177,43536,45627,45816
2008,2,3,44015,42061,40829,39443,38699,38467,39176,40542,41872,44379,45030,45167,41883,43225,44204,43879,43871,43978,45731,45054,44607,43913,45224,46087
2008,2,4,44462,42787,41270,39765,38945,38845,39518,40652,41785,44349,44720,44924,41662,42988,43757,43506,43389,43454,45405,44709,44672,43435,45664,45780
2008,2,5,44297,42420,41228,39751,38934,38880,39528,40586,41431,44169,44917,45097,41958,43222,44047,43892,43975,44048,45527,44889,44596,43931,46127,46369
2008,2,6,44882,43114,41963,40495,39625,39384,39874,40864,42122,44559,45236,45411,42238,43651,44365,44121,43979,43911,45396,44737,44405,43709,45905,46132
2008,2,7,44711,43126,41866,40297,39291,38873,39227,40031,40173,42307,43865,43874,40247,41366,40524,39883,39617,38786,40137,40292,40795,40893,43644,44096
2008,2,8,43065,41376,39954,38336,37280,36612,36099,35231,32871,32681,33172,33354,32606,32905,32860,32708,32817,33516,36381,36981,37827,38134,40844,41301
2008,2,9,40277,38690,37330,36032,35355,35517,36572,38733,40889,43650,44421,44585,41313,42695,43395,43105,43092,43138,45003,44754,44431,43658,45559,45599
2008,2,10,44049,42038,40771,39316,38595,38507,39238,40667,42000,44321,45381,44641,41205,42517,43299,42978,42866,42832,44713,44294,44059,43418,45537,45583
2008,2,11,43823,41811,40369,39061,38172,38096,38830,40275,41698,43962,44248,44216,40926,42291,42983,42614,42493,42462,43945,43653,43514,43153,45113,45068
2008,2,12,43400,41408,40005,38600,37873,37823,38598,40061,41557,43750,43893,43680,40423,41872,42562,42173,42072,42032,44115,44206,43996,43229,45319,45282
2008,2,13,43651,41530,40140,38732,37956,37979,38740,40072,41466,43676,43840,43713,40418,41805,42560,42211,42304,42727,44012,43611,43251,42632,44705,44595
2008,2,14,42785,40753,39185,37709,36884,36700,37240,38294,39184,41072,41672,41578,38848,39176,39476,38766,37908,37151,38909,39473,40012,39989,42532,42901
2008,2,15,41665,39758,38098,36617,35788,35387,35099,34167,31969,31782,32190,32456,31668,31845,31719,31606,31800,32340,35063,36045,36955,37299,39822,40092
2008,2,16,38833,36860,35333,34200,33936,34252,35281,37249,39747,42501,43076,43090,39868,42035,42594,42237,42366,41634,43472,43417,43198,42493,44552,44247
2008,2,17,41988,39776,38182,36950,36575,36513,37335,38545,40056,42429,42743,42705,39593,40940,41648,41349,41311,42198,44231,44410,43986,43559,45592,45130
2008,2,18,42368,39969,38551,37403,36848,36969,37842,39156,40335,42541,42854,42754,39391,40520,41226,40861,40705,40490,42138,42561,42564,42250,44336,44096
2008,2,19,41924,39540,38203,36925,36578,36554,37389,38670,40145,42380,42527,42254,39045,40227,40871,40512,40437,40354,42352,42824,42804,42123,44200,43731
2008,2,20,41389,38985,37440,36342,36100,36338,37148,38292,39672,41729,41929,41710,38330,39626,40329,39785,39795,39630,41548,41821,41855,41298,43356,42583
2008,2,21,40854,38410,36667,35157,34813,35012,35491,36326,37811,40140,40728,40754,38182,38491,38676,37894,37151,36927,37970,38230,38926,38531,41199,40994
2008,2,22,38336,35974,34174,32862,32395,32408,32326,31902,30881,31355,32311,32722,32347,32675,32711,32753,32959,33434,35169,35784,36543,36953,39399,39493
2008,2,23,38217,36171,34531,33322,33096,33454,34671,36618,38942,41966,42826,42918,39717,41160,41783,41361,41242,41060,42950,43385,43281,42540,44484,44099
2008,2,24,42414,39669,38157,36902,36355,36363,37150,38376,40210,42620,43119,43070,39987,41511,42464,42271,42198,42114,43368,43375,43033,42298,44308,44028
2008,2,25,41927,39588,37959,36626,36043,36191,37089,38149,39749,42845,43314,43243,40126,41905,42560,41846,41786,41910,42360,42627,42714,42234,44337,43935
2008,2,26,41834,39625,38147,36792,36400,36588,37413,38707,40048,42328,42992,43202,40040,42308,42915,42003,41915,41614,43241,43630,43328,42672,44877,44527
2008,2,27,42521,40443,38883,37555,37097,37137,37791,38775,39991,42445,43049,43085,39841,41104,41764,41298,41116,40805,42414,43085,42957,42346,44478,44194
2008,2,28,42395,40200,38559,37276,36568,36512,36979,37674,38526,40457,41051,41047,38449,39030,39179,38504,38131,37650,38473,38623,39141,39183,41646,41772
2008,2,29,40083,37884,36085,34654,34011,33768,33488,32766,30892,30920,31588,31701,31061,31205,31069,30901,31020,31517,33881,35098,35738,36183,38653,38915
2008,3,1,37594,35596,34034,32775,32272,32337,32511,32585,32230,33236,34259,34661,33358,33653,33787,33602,33554,33876,36303,37852,38538,38703,41077,41122
2008,3,2,39305,36859,35646,34626,34400,34769,36059,37912,39593,42150,42783,43015,39997,41526,42321,41867,41849,41682,43091,43585,43413,42749,44904,44935
2008,3,3,42976,40640,39287,38050,37354,37396,38371,39821,41032,43378,43884,43936,40659,42216,43022,42849,42856,42020,43168,43767,43781,43266,45419,45262
2008,3,4,43655,41660,40291,38828,38091,38096,39020,40555,41379,43522,43781,43762,40446,42016,42864,42853,43204,43586,44859,44951,44492,43463,45460,45449
2008,3,5,43701,41655,40077,38625,37823,37888,38706,40042,40838,42739,43527,43539,40789,42444,43466,43022,42756,42220,42855,43353,43148,42676,44976,44970
2008,3,6,43592,41710,40121,38733,37964,37705,38199,39169,39291,41141,41772,41931,39350,39852,39990,39249,38387,37268,38567,39898,40443,40462,43287,43727
2008,3,7,42573,40897,39418,37879,36777,36296,35681,34820,32425,32335,32940,33132,32540,32767,32682,32511,32672,32836,34985,36813,37739,38107,40589,40924
2008,3,8,39895,38200,36668,35427,34833,35058,36182,38328,40260,42980,43494,43535,40356,41885,42801,42724,42756,42612,43692,44101,43725,42917,45251,45100
2008,3,9,43231,41172,39723,38374,37736,37711,38538,39836,40768,42898,42957,42818,39494,40647,41365,41004,40898,40921,42161,43133,43055,42458,44825,44511
2008,3,10,42193,39821,38128,36732,36209,36379,37309,38452,39453,41356,41648,41811,38962,40457,41327,41173,41362,41155,41568,41916,42100,41619,44074,43587
